Sentence,Type,Factual/Subjective,Sentiment
"This sunset takes my breath away!",Affirmation,Subjective,Euphoria
"Human bones regenerate every decade.",Affirmation,Factual,Neutral
"I reject superficial social norms.",Negation,Subjective,Anger
"Octopuses have three hearts.",Affirmation,Factual,Neutral
"Laughter reduces stress hormones.",Affirmation,Factual,Neutral
"This achievement fills me with pride!",Affirmation,Subjective,Happiness
"Jupiter's Great Red Spot is shrinking.",Affirmation,Factual,Neutral
"Betrayal leaves deep scars.",Affirmation,Subjective,Sadness
"Photosynthesis converts light to energy.",Affirmation,Factual,Neutral
"I oppose environmental destruction.",Negation,Subjective,Anger
"Earth's atmosphere contains 78% nitrogen.",Affirmation,Factual,Neutral
"Childhood memories warm my heart.",Affirmation,Subjective,Happiness
"Tardigrades survive extreme radiation.",Affirmation,Factual,Neutral
"Unrequited love pains me.",Affirmation,Subjective,Sadness
"Light travels at 299,792 km/s.",Affirmation,Factual,Neutral
"I despise bureaucratic red tape.",Affirmation,Subjective,Anger
"Mitochondria are cell powerhouses.",Affirmation,Factual,Neutral
"Penguins propose with pebbles.",Affirmation,Factual,Neutral
"Meditation centers my being.",Affirmation,Subjective,Neutral
"Pluto's surface contains methane ice.",Affirmation,Factual,Neutral
"False accusations infuriate me.",Affirmation,Subjective,Anger
"Human saliva contains painkillers.",Affirmation,Factual,Neutral
"Ocean waves calm my mind.",Affirmation,Subjective,Happiness
"Neutron stars rotate 600 times/sec.",Affirmation,Factual,Neutral
"I refuse to accept mediocrity.",Negation,Subjective,Anger
"Bananas are radioactive.",Affirmation,Factual,Neutral
"Forgotten promises hurt deeply.",Affirmation,Subjective,Sadness
"Venus has volcanic activity.",Affirmation,Factual,Neutral
"Puppy breath brings me joy.",Affirmation,Subjective,Euphoria
"Stomach acid dissolves metal.",Affirmation,Factual,Neutral
"Unjust systems anger me.",Affirmation,Subjective,Anger
"Blue whales' hearts weigh 400kg.",Affirmation,Factual,Neutral
"Morning coffee energizes my soul.",Affirmation,Subjective,Happiness
"Trees communicate through root networks.",Affirmation,Factual,Neutral
"I condemn workplace discrimination.",Negation,Subjective,Anger
"Human nose detects 1 trillion scents.",Affirmation,Factual,Neutral
"Old photographs evoke nostalgia.",Affirmation,Subjective,Sadness
"Solar flares affect radio signals.",Affirmation,Factual,Neutral
"Freshly baked bread comforts me.",Affirmation,Subjective,Happiness
"Antarctica has active volcanoes.",Affirmation,Factual,Neutral
"Plagiarism disgusts me.",Affirmation,Subjective,Anger
"Sharks existed before trees.",Affirmation,Factual,Neutral
"Rainy days lift my spirits.",Affirmation,Subjective,Happiness
"Human DNA contains viral remnants.",Affirmation,Factual,Neutral
"I oppose cultural appropriation.",Negation,Subjective,Anger
"Bees recognize human faces.",Affirmation,Factual,Neutral
"Abandonment fears haunt me.",Affirmation,Subjective,Sadness
"Mercury's core is liquid iron.",Affirmation,Factual,Neutral
"Summer rain rejuvenates me.",Affirmation,Subjective,Euphoria
"Wombat feces are cube-shaped.",Affirmation,Factual,Neutral
"Willful ignorance angers me.",Affirmation,Subjective,Anger
"Clouds weigh millions of pounds.",Affirmation,Factual,Neutral
"Grandmother's recipes bring comfort.",Affirmation,Subjective,Happiness
"Earth's rotation is slowing.",Affirmation,Factual,Neutral
"I reject toxic positivity.",Negation,Subjective,Anger
"Fingerprints enhance grip.",Affirmation,Factual,Neutral
"Unanswered messages worry me.",Affirmation,Subjective,Sadness
"Moon dust smells like gunpowder.",Affirmation,Factual,Neutral
"Baby laughter is magical.",Affirmation,Subjective,Euphoria
"Strawberries have 200 seeds.",Affirmation,Factual,Neutral
"Traffic jams test my patience.",Affirmation,Subjective,Anger
"Human eyes see 10 million colors.",Affirmation,Factual,Neutral
"Forest walks ground me.",Affirmation,Subjective,Neutral
"Saturn's rings are ice particles.",Affirmation,Factual,Neutral
"Chronic lateness irritates me.",Affirmation,Subjective,Anger
"Lobsters show negligible senescence.",Affirmation,Factual,Neutral
"Unconditional love sustains me.",Affirmation,Subjective,Happiness
"Lightning strikes 8 million times/day.",Affirmation,Factual,Neutral
"Unkept promises disappoint me.",Affirmation,Subjective,Sadness
"Glass flows over centuries.",Affirmation,Factual,Neutral
"Morning yoga centers my being.",Affirmation,Subjective,Neutral
"Vocal cords vibrate 100-1000Hz.",Affirmation,Factual,Neutral
"Wasted potential saddens me.",Affirmation,Subjective,Sadness
"Oysters change gender.",Affirmation,Factual,Neutral
"Winter holidays excite me!",Affirmation,Subjective,Euphoria
"Human gut contains 2kg bacteria.",Affirmation,Factual,Neutral
"Mindless consumerism bothers me.",Affirmation,Subjective,Anger
"Kangaroos can't walk backward.",Negation,Factual,Neutral
"Family traditions anchor me.",Affirmation,Subjective,Happiness
"Sunflowers track sunlight.",Affirmation,Factual,Neutral
"Unresolved conflicts eat at me.",Affirmation,Subjective,Sadness
"Venus rotates clockwise.",Affirmation,Factual,Neutral
"Art museums inspire wonder.",Affirmation,Subjective,Euphoria
"Human brain generates 25 watts.",Affirmation,Factual,Neutral
"Unreliable Wi-Fi frustrates me.",Affirmation,Subjective,Anger
"Tears have different compositions.",Affirmation,Factual,Neutral
"Morning sunlight energizes me.",Affirmation,Subjective,Happiness
"Earth's core is as hot as Sun.",Affirmation,Factual,Neutral
"Social media drains me.",Affirmation,Subjective,Sadness
"Flamingos pink comes from diet.",Affirmation,Factual,Neutral
"Meaningful conversations fulfill me.",Affirmation,Subjective,Happiness
"Bamboo grows 35 inches/day.",Affirmation,Factual,Neutral
"Unfair criticism stings.",Affirmation,Subjective,Sadness
"Snakes smell with tongues.",Affirmation,Factual,Neutral
"Personal growth excites me!",Affirmation,Subjective,Euphoria
"Human hair contains gold.",Affirmation,Factual,Neutral
"Broken trust devastates me.",Affirmation,Subjective,Sadness
"Elephants mourn their dead.",Affirmation,Factual,Neutral
"Creative projects fuel me.",Affirmation,Subjective,Happiness
"Sound travels faster underwater.",Affirmation,Factual,Neutral
"Unanswered questions haunt me.",Affirmation,Subjective,Sadness
"Banana plants are herbs.",Affirmation,Factual,Neutral
"Team successes thrill me!",Affirmation,Subjective,Euphoria
"Water has 3 states of matter.",Affirmation,Factual,Neutral
"Unkept gardens depress me.",Affirmation,Subjective,Sadness
"Gold is edible.",Affirmation,Factual,Neutral
"Cultural diversity enriches me.",Affirmation,Subjective,Happiness
"Light takes 8 minutes from Sun.",Affirmation,Factual,Neutral
"Unread books guilt-trip me.",Affirmation,Subjective,Sadness
"Koalas have unique fingerprints.",Affirmation,Factual,Neutral
"Personal achievements motivate me.",Affirmation,Subjective,Happiness
"Earth has 8.7 million species.",Affirmation,Factual,Neutral
"Unhealthy relationships drain me.",Affirmation,Subjective,Sadness
"Oxygen is colorless.",Affirmation,Factual,Neutral
"Morning birdsong uplifts me.",Affirmation,Subjective,Happiness
"Sharks detect electricity.",Affirmation,Factual,Neutral
"Creative blocks frustrate me.",Affirmation,Subjective,Anger
"Human nails grow 3mm/month.",Affirmation,Factual,Neutral
"Financial security comforts me.",Affirmation,Subjective,Neutral
"Ants farm aphids.",Affirmation,Factual,Neutral
"Unprocessed trauma affects me.",Affirmation,Subjective,Sadness
"Fingernails grow faster than toes.",Affirmation,Factual,Neutral
"Self-care routines restore me.",Affirmation,Subjective,Happiness
"Earth's magnetic field shifts.",Affirmation,Factual,Neutral
"Unresolved mysteries intrigue me.",Affirmation,Subjective,Neutral
"Octopus blood is blue.",Affirmation,Factual,Neutral
"Unjust systems anger me.",Affirmation,Subjective,Anger
"Human ears never stop growing.",Affirmation,Factual,Neutral
"Cultural exchanges enlighten me.",Affirmation,Subjective,Happiness
"Sun produces 384 yottawatts.",Affirmation,Factual,Neutral
"Unspoken words burden me.",Affirmation,Subjective,Sadness
"Pineapples take 2 years to grow.",Affirmation,Factual,Neutral
"Artistic expression fulfills me.",Affirmation,Subjective,Euphoria
"Human liver regenerates.",Affirmation,Factual,Neutral
"Unfinished projects stress me.",Affirmation,Subjective,Anger
"Birds descended from dinosaurs.",Affirmation,Factual,Neutral
"Morning runs invigorate me.",Affirmation,Subjective,Happiness
"Water covers 71% of Earth.",Affirmation,Factual,Neutral
"Unresolved grief lingers.",Affirmation,Subjective,Sadness
"Human skin sheds 40lbs lifetime.",Affirmation,Factual,Neutral
"Intellectual debates stimulate me.",Affirmation,Subjective,Euphoria
"Desert sand can sing.",Affirmation,Factual,Neutral
"Unhealthy food tempts me.",Affirmation,Subjective,Anger
"Human heart beats 100,000/day.",Affirmation,Factual,Neutral
"Personal space rejuvenates me.",Affirmation,Subjective,Happiness
"Moon causes Earth tides.",Affirmation,Factual,Neutral
"Unchecked ambition worries me.",Affirmation,Subjective,Sadness
"Human brain 60% fat.",Affirmation,Factual,Neutral
"Musical harmony moves me.",Affirmation,Subjective,Euphoria
"Volcanoes create new land.",Affirmation,Factual,Neutral
"Unfiltered opinions offend me.",Affirmation,Subjective,Anger
"Human lungs surface=tennis court.",Affirmation,Factual,Neutral
"Nature documentaries calm me.",Affirmation,Subjective,Neutral
"Stars twinkle due to turbulence.",Affirmation,Factual,Neutral
"Uncertain future frightens me.",Affirmation,Subjective,Sadness
"Human skeleton renews every 10y.",Affirmation,Factual,Neutral
"Scientific discoveries excite me!",Affirmation,Subjective,Euphoria
"Rainbows form at 42 degrees.",Affirmation,Factual,Neutral
"Unwanted advice annoys me.",Affirmation,Subjective,Anger
"Human eye distinguishes 500 gray shades.",Affirmation,Factual,Neutral
"Historical novels educate me.",Affirmation,Subjective,Neutral
"Earth's circumference 24,901 miles.",Affirmation,Factual,Neutral
"Unmet expectations disappoint me.",Affirmation,Subjective,Sadness
"Human tongue has unique print.",Affirmation,Factual,Neutral
"Technological progress inspires me.",Affirmation,Subjective,Happiness
"Northern Lights solar particles.",Affirmation,Factual,Neutral
"Unnecessary noise irritates me.",Affirmation,Subjective,Anger
"Human hair supports 100g weight.",Affirmation,Factual,Neutral
"Learning languages challenges me.",Affirmation,Subjective,Neutral
"Earth's inner core solid iron.",Affirmation,Factual,Neutral
"Unseen efforts discourage me.",Affirmation,Subjective,Sadness
"The ocean covers 71% of Earth's surface.",Affirmation,Factual,Neutral
"I’m not afraid of heights.",Negation,Subjective,Happiness
"Puppies bring me so much joy.",Affirmation,Subjective,Euphoria
"The sun didn’t rise this morning.",Negation,Factual,Sadness
"Climate change is accelerating.",Affirmation,Factual,Anger
"She doesn’t enjoy spicy food.",Negation,Subjective,Neutral
"Humans need oxygen to survive.",Affirmation,Factual,Neutral
"I can’t stand rainy days.",Affirmation,Subjective,Sadness
"The concert was absolutely breathtaking.",Affirmation,Subjective,Euphoria
"Elephants never forget.",Affirmation,Factual,Neutral
"I don’t believe in ghosts.",Negation,Subjective,Neutral
"Laughter is the best medicine.",Affirmation,Subjective,Happiness
"The experiment failed due to contamination.",Affirmation,Factual,Sadness
"He didn’t finish the race.",Negation,Factual,Neutral
"My favorite color is blue.",Affirmation,Subjective,Happiness
"Volcanoes erupt unpredictably.",Affirmation,Factual,Neutral
"I’m not interested in politics.",Negation,Subjective,Neutral
"Freshly baked bread smells amazing.",Affirmation,Subjective,Happiness
"The moon doesn’t emit its own light.",Negation,Factual,Neutral
"Traffic jams make me furious.",Affirmation,Subjective,Anger
"Plants convert sunlight into energy.",Affirmation,Factual,Neutral
"I don’t feel safe in crowds.",Negation,Subjective,Sadness
"Winning the game felt incredible.",Affirmation,Subjective,Euphoria
"Snakes aren’t mammals.",Negation,Factual,Neutral
"I love the sound of rain.",Affirmation,Subjective,Happiness
"The meeting was canceled unexpectedly.",Affirmation,Factual,Sadness
"She doesn’t trust strangers easily.",Negation,Subjective,Neutral
"Exercise improves mental health.",Affirmation,Factual,Happiness
"I’m not good at singing.",Negation,Subjective,Sadness
"A rainbow appeared after the storm.",Affirmation,Factual,Happiness
"Computers don’t understand emotions.",Negation,Factual,Neutral
"I hate waking up early.",Affirmation,Subjective,Anger
"The Earth orbits the sun in 365 days.",Affirmation,Factual,Neutral
"I don’t enjoy horror movies.",Negation,Subjective,Neutral
"Her smile lights up the room.",Affirmation,Subjective,Happiness
"Oil and water don’t mix.",Negation,Factual,Neutral
"Missing the deadline upset me.",Affirmation,Subjective,Sadness
"The new park is a great addition.",Affirmation,Subjective,Happiness
"Gravity keeps us grounded.",Affirmation,Factual,Neutral
"I’m not excited about winter.",Negation,Subjective,Sadness
"The dessert was overwhelmingly sweet.",Affirmation,Subjective,Euphoria
"Sharks don’t live in freshwater.",Negation,Factual,Neutral
"I despise crowded elevators.",Affirmation,Subjective,Anger
"A full moon affects tides.",Affirmation,Factual,Neutral
"He didn’t call me back.",Negation,Subjective,Sadness
"Learning something new feels rewarding.",Affirmation,Subjective,Happiness
"The library was unusually noisy.",Affirmation,Factual,Anger
"I don’t mind cold weather.",Negation,Subjective,Neutral
"Dancing makes me feel alive.",Affirmation,Subjective,Euphoria
"The theory was proven correct.",Affirmation,Factual,Happiness
"The sun rises in the east every morning.",Affirmation,Factual,Neutral
"I don’t feel comfortable in crowded places.",Negation,Subjective,Sadness
"Rainforests store vast amounts of carbon.",Affirmation,Factual,Neutral
"This movie isn’t worth watching.",Negation,Subjective,Anger
"Learning new skills makes me happy.",Affirmation,Subjective,Happiness
"Elephants never forget their companions.",Affirmation,Factual,Neutral
"I can’t stand the smell of rain.",Negation,Subjective,Anger
"The concert last night was pure bliss.",Affirmation,Subjective,Euphoria
"Humans didn’t land on Mars yet.",Negation,Factual,Neutral
"Chocolate tastes better than vanilla.",Affirmation,Subjective,Happiness
"The Earth orbits the sun in 365 days.",Affirmation,Factual,Neutral
"I’m not excited about this trip.",Negation,Subjective,Sadness
"Volcanoes erupt due to tectonic pressure.",Affirmation,Factual,Neutral
"Spicy food doesn’t appeal to me.",Negation,Subjective,Anger
"Winning the game felt exhilarating.",Affirmation,Subjective,Euphoria
"Penguins can’t fly like other birds.",Negation,Factual,Neutral
"My dog brings me joy every day.",Affirmation,Subjective,Happiness
"The moon doesn’t emit its own light.",Negation,Factual,Neutral
"I dislike waking up early.",Affirmation,Subjective,Anger
"Oceans cover 71% of Earth’s surface.",Affirmation,Factual,Neutral
"Meeting new people isn’t my strength.",Negation,Subjective,Sadness
"This sunset is absolutely stunning.",Affirmation,Subjective,Euphoria
"Plants don’t grow without sunlight.",Negation,Factual,Neutral
"I love the sound of waves crashing.",Affirmation,Subjective,Happiness
"Gravity keeps us grounded on Earth.",Affirmation,Factual,Neutral
"I’m not afraid of heights.",Negation,Subjective,Neutral
"Coffee boosts my energy in the morning.",Affirmation,Subjective,Happiness
"The desert isn’t a good place to swim.",Negation,Factual,Neutral
"Losing a friend feels devastating.",Affirmation,Subjective,Sadness
"Stars are born from collapsing gas clouds.",Affirmation,Factual,Neutral
"I don’t trust strangers easily.",Negation,Subjective,Anger
"Freshly baked bread smells amazing.",Affirmation,Subjective,Happiness
"Sharks don’t attack humans often.",Negation,Factual,Neutral
"This weather makes me miserable.",Affirmation,Subjective,Sadness
"Flying in an airplane is thrilling.",Affirmation,Subjective,Euphoria
"The human body has 206 bones.",Affirmation,Factual,Neutral
"I can’t enjoy horror movies.",Negation,Subjective,Anger
"Spring flowers brighten my mood.",Affirmation,Subjective,Happiness
"Tornadoes don’t form in Antarctica.",Negation,Factual,Neutral
"I feel alive when hiking mountains.",Affirmation,Subjective,Euphoria
"Birds migrate south for the winter.",Affirmation,Factual,Neutral
"I don’t like being stuck in traffic.",Negation,Subjective,Anger
"The library is my favorite place.",Affirmation,Subjective,Happiness
"Sound travels faster in water than air.",Affirmation,Factual,Neutral
"I’m not good at painting.",Negation,Subjective,Sadness
"Scoring a goal felt incredible.",Affirmation,Subjective,Euphoria
"Venus is the hottest planet.",Affirmation,Factual,Neutral
"I hate when plans get canceled.",Affirmation,Subjective,Anger
"A warm bath relaxes my mind.",Affirmation,Subjective,Happiness
"Ants don’t sleep like humans do.",Negation,Factual,Neutral
"Thunderstorms don’t scare me.",Negation,Subjective,Neutral
"The Great Wall of China stretches over 21,000 kilometers.",Affirmation,Factual,Neutral
"I feel lonely on rainy days.",Affirmation,Subjective,Sadness
"Fresh snow on the mountains is breathtaking.",Affirmation,Subjective,Euphoria
"Bacteria thrive in warm environments.",Affirmation,Factual,Neutral
"I don’t enjoy cooking complicated meals.",Negation,Subjective,Anger
"Seeing old friends warms my heart.",Affirmation,Subjective,Happiness
"Dolphins aren’t fish but mammals.",Negation,Factual,Neutral
"I hate when my phone dies.",Affirmation,Subjective,Anger
"The smell of rain uplifts my spirit.",Affirmation,Subjective,Happiness
"Light travels faster than sound.",Affirmation,Factual,Neutral
"I’m not interested in sports.",Negation,Subjective,Neutral
"Finishing a book feels rewarding.",Affirmation,Subjective,Happiness
"Mount Everest isn’t easy to climb.",Negation,Factual,Neutral
"This cold weather depresses me.",Affirmation,Subjective,Sadness
"Fireworks light up the sky beautifully.",Affirmation,Subjective,Euphoria
"Honey bees pollinate flowers.",Affirmation,Factual,Neutral
"I don’t trust online reviews.",Negation,Subjective,Anger
"A good workout energizes me.",Affirmation,Subjective,Happiness
"The Arctic isn’t warm in winter.",Negation,Factual,Neutral
"I feel terrible after arguing.",Affirmation,Subjective,Sadness
"Dancing in the rain is pure joy.",Affirmation,Subjective,Euphoria
"Gold doesn’t rust like iron.",Negation,Factual,Neutral
"I love exploring new cities.",Affirmation,Subjective,Happiness
"Traffic jams ruin my day.",Affirmation,Subjective,Anger
"The brain processes emotions daily.",Affirmation,Factual,Neutral
"I’m not fond of spicy snacks.",Negation,Subjective,Anger
"Sunlight boosts vitamin D levels.",Affirmation,Factual,Neutral
"Watching sad movies doesn’t cheer me up.",Negation,Subjective,Sadness
"A perfect score made me ecstatic.",Affirmation,Subjective,Euphoria
"Trees release oxygen into the air.",Affirmation,Factual,Neutral
"I don’t like crowded elevators.",Negation,Subjective,Anger
"Stargazing calms my mind.",Affirmation,Subjective,Happiness
"Deserts don’t get much rainfall.",Negation,Factual,Neutral
"Missing a deadline frustrates me.",Affirmation,Subjective,Anger
"Riding a bike feels liberating.",Affirmation,Subjective,Happiness
"The pyramids were built by ancient Egyptians.",Affirmation,Factual,Neutral
"I’m not ready for this test.",Negation,Subjective,Sadness
"Swimming in the ocean is exhilarating.",Affirmation,Subjective,Euphoria
"Glass is made from heated sand.",Affirmation,Factual,Neutral
"I don’t enjoy loud parties.",Negation,Subjective,Anger
"A cozy blanket makes me happy.",Affirmation,Subjective,Happiness
"Whales don’t live in freshwater.",Negation,Factual,Neutral
"I feel lost without my routine.",Affirmation,Subjective,Sadness
"Climbing to the top was thrilling.",Affirmation,Subjective,Euphoria
"The heart pumps blood constantly.",Affirmation,Factual,Neutral
"I’m not a fan of cold showers.",Negation,Subjective,Anger
"Kind words brighten my day.",Affirmation,Subjective,Happiness
"Clouds form from water vapor.",Affirmation,Factual,Neutral
"I don’t sleep well with noise.",Negation,Subjective,Sadness
"The sun rises in the east every morning.",Affirmation,Factual,Neutral
"I don’t enjoy rainy days.",Negation,Subjective,Sadness
"Chocolate tastes better than vanilla.",Affirmation,Subjective,Happiness
"Elephants never forget their companions.",Affirmation,Factual,Neutral
"My team didn’t win the championship.",Negation,Subjective,Sadness
"Exercise improves mental health.",Affirmation,Factual,Happiness
"I can’t stand crowded places.",Affirmation,Subjective,Anger
"The moon doesn’t emit its own light.",Negation,Factual,Neutral
"Winning the lottery would be thrilling!",Affirmation,Subjective,Euphoria
"Climate change is not a hoax.",Negation,Factual,Anger
"Puppies bring joy to everyone.",Affirmation,Subjective,Happiness
"The Earth is flat.",Affirmation,Factual,Neutral
"I don’t believe in ghosts.",Negation,Subjective,Neutral
"Music soothes the soul.",Affirmation,Subjective,Happiness
"Tornadoes can destroy entire towns.",Affirmation,Factual,Sadness
"I’m not afraid of heights.",Negation,Subjective,Neutral
"Freshly baked bread smells amazing.",Affirmation,Subjective,Euphoria
"The capital of France is Paris.",Affirmation,Factual,Neutral
"I despise waking up early.",Affirmation,Subjective,Anger
"Plants need sunlight to grow.",Affirmation,Factual,Neutral
"I didn’t finish my homework on time.",Negation,Subjective,Sadness
"Space exploration inspires curiosity.",Affirmation,Factual,Happiness
"Snakes aren’t always dangerous.",Negation,Factual,Neutral
"This movie is absolutely hilarious!",Affirmation,Subjective,Euphoria
"Taxes are too complicated.",Affirmation,Subjective,Anger
"Oceans cover most of the planet.",Affirmation,Factual,Neutral
"I don’t miss my old job.",Negation,Subjective,Happiness
"Art can change perspectives.",Affirmation,Subjective,Happiness
"The desert isn’t a good place to live.",Negation,Subjective,Neutral
"Lightning strikes cause wildfires.",Affirmation,Factual,Sadness
"I love hiking in the mountains.",Affirmation,Subjective,Euphoria
"Gravity keeps us grounded.",Affirmation,Factual,Neutral
"I’m not upset about the delay.",Negation,Subjective,Neutral
"Coffee boosts my energy.",Affirmation,Subjective,Happiness
"Penguins can’t fly like other birds.",Negation,Factual,Sadness
"Technology makes life easier.",Affirmation,Factual,Happiness
"I don’t trust strangers easily.",Negation,Subjective,Neutral
"A good book is hard to put down.",Affirmation,Subjective,Happiness
"The sky turned orange during the sunset.",Affirmation,Factual,Euphoria
"I hate cleaning the house.",Affirmation,Subjective,Anger
"Volcanoes erupt unpredictably.",Affirmation,Factual,Neutral
"I didn’t expect such great weather.",Negation,Subjective,Happiness
"Learning a new language is fun.",Affirmation,Subjective,Happiness
"Sharks don’t attack humans often.",Negation,Factual,Neutral
"My birthday party was a blast!",Affirmation,Subjective,Euphoria
"Traffic jams ruin my day.",Affirmation,Subjective,Anger
"Rainforests store carbon dioxide.",Affirmation,Factual,Neutral
"I’m not good at painting.",Negation,Subjective,Sadness
"Fireworks light up the night sky.",Affirmation,Factual,Happiness
"Losing a pet is heartbreaking.",Affirmation,Subjective,Sadness
"The sun rises in the east.",Affirmation,Factual,Neutral
"I am not feeling well today.",Negation,Subjective,Sadness
"This cake is absolutely delicious.",Affirmation,Subjective,Happiness
"Elephants are mammals.",Affirmation,Factual,Neutral
"I cannot believe he said that.",Negation,Subjective,Anger
"The view from this mountain is breathtaking.",Affirmation,Subjective,Euphoria
"Plants require sunlight to grow.",Affirmation,Factual,Neutral
"I don't understand this math problem.",Negation,Subjective,Sadness
"My favorite color is blue.",Affirmation,Subjective,Happiness
"A triangle has three sides.",Affirmation,Factual,Neutral
"I am not happy with the outcome.",Negation,Subjective,Anger
"Winning that competition was the best moment of my life.",Affirmation,Subjective,Euphoria
"The Earth revolves around the sun.",Affirmation,Factual,Neutral
"I don't want to go to the party.",Negation,Subjective,Sadness
"That movie was truly inspiring.",Affirmation,Subjective,Happiness
"Honey is made by bees.",Affirmation,Factual,Neutral
"I cannot tolerate this noise.",Negation,Subjective,Anger
"The concert was an amazing experience.",Affirmation,Subjective,Euphoria
"The speed of light is constant.",Affirmation,Factual,Neutral
"I am not interested in that topic.",Negation,Subjective,Sadness
"This book is exceptionally well-written.",Affirmation,Subjective,Happiness
"The human body has 206 bones.",Affirmation,Factual,Neutral
"I don't appreciate being ignored.",Negation,Subjective,Anger
"The birth of my child was pure joy.",Affirmation,Subjective,Euphoria
"Oxygen is essential for life.",Affirmation,Factual,Neutral
"I am not satisfied with the service.",Negation,Subjective,Sadness
"The painting is a masterpiece.",Affirmation,Subjective,Happiness
"Rain falls from clouds.",Affirmation,Factual,Neutral
"I don't like waiting in line.",Negation,Subjective,Anger
"The fireworks display was spectacular.",Affirmation,Subjective,Euphoria
"Gravity pulls objects towards the Earth.",Affirmation,Factual,Neutral
"I am not feeling optimistic about this.",Negation,Subjective,Sadness
"This coffee is perfect.",Affirmation,Subjective,Happiness
"The internet is a global network.",Affirmation,Factual,Neutral
"I don't approve of his behavior.",Negation,Subjective,Anger
"Graduating college was a dream come true.",Affirmation,Subjective,Euphoria
"The temperature dropped below freezing.",Affirmation,Factual,Neutral
"I am not comfortable with this situation.",Negation,Subjective,Sadness
"This song makes me feel alive.",Affirmation,Subjective,Happiness
"Diamonds are made of carbon.",Affirmation,Factual,Neutral
"I don't enjoy being interrupted.",Negation,Subjective,Anger
"The wedding ceremony was magical.",Affirmation,Subjective,Euphoria
"The heart pumps blood through the body.",Affirmation,Factual,Neutral
"I am not pleased with the result.",Negation,Subjective,Sadness
"This meal is absolutely delightful.",Affirmation,Subjective,Happiness
"The moon orbits the Earth.",Affirmation,Factual,Neutral
"I don't like being rushed.",Negation,Subjective,Anger
"The surprise party was a complete success.",Affirmation,Subjective,Euphoria
"Sound travels in waves.",Affirmation,Factual,Neutral
"I am not happy about the delay.",Negation,Subjective,Sadness
"This artwork is truly inspiring.",Affirmation,Subjective,Happiness
"Metals conduct electricity.",Affirmation,Factual,Neutral
"I don't appreciate the lack of respect.",Negation,Subjective,Anger
"The birth of my grandchild was a blessing.",Affirmation,Subjective,Euphoria
"The brain controls the body.",Affirmation,Factual,Neutral
"I am not satisfied with this explanation.",Negation,Subjective,Sadness
"This dessert is heavenly.",Affirmation,Subjective,Happiness
"The ocean covers most of the Earth.",Affirmation,Factual,Neutral
"I don't want to hear any excuses.",Negation,Subjective,Anger
"The proposal was a moment of pure bliss.",Affirmation,Subjective,Euphoria
"The atmosphere protects us from radiation.",Affirmation,Factual,Neutral
"I am not interested in your opinion.",Negation,Subjective,Sadness
"This performance was outstanding.",Affirmation,Subjective,Happiness
"The speed of sound varies with temperature.",Affirmation,Factual,Neutral
"I don't like being told what to do.",Negation,Subjective,Anger
"The reunion was an overwhelming joy.",Affirmation,Subjective,Euphoria
"The digestive system breaks down food.",Affirmation,Factual,Neutral
"I am not comfortable with this decision.",Negation,Subjective,Sadness
"This scenery is absolutely stunning.",Affirmation,Subjective,Happiness
"The continents are moving.",Affirmation,Factual,Neutral
"I don't like being patronized.",Negation,Subjective,Anger
"The promotion was a moment of pure elation.",Affirmation,Subjective,Euphoria
"The nervous system transmits signals.",Affirmation,Factual,Neutral
"I am not happy with the current situation.",Negation,Subjective,Sadness
"This experience is unforgettable.",Affirmation,Subjective,Happiness
"The tides are caused by the moon's gravity.",Affirmation,Factual,Neutral
"I don't want to deal with this anymore.",Negation,Subjective,Anger
"The rescue was a moment of absolute relief.",Affirmation,Subjective,Euphoria
"The skeletal system provides support.",Affirmation,Factual,Neutral
"I am not pleased with the lack of communication.",Negation,Subjective,Sadness
"This feeling is incredible.",Affirmation,Subjective,Happiness
"The water cycle is essential for life.",Affirmation,Factual,Neutral
"I don't like being ignored.",Negation,Subjective,Anger
"The discovery was a moment of pure wonder.",Affirmation,Subjective,Euphoria
"The respiratory system allows us to breathe.",Affirmation,Factual,Neutral
"I am not satisfied with the quality.",Negation,Subjective,Sadness
"This day is perfect.",Affirmation,Subjective,Happiness
"The solar system contains planets.",Affirmation,Factual,Neutral
"I don't want to be involved.",Negation,Subjective,Anger
"The arrival was a moment of intense happiness.",Affirmation,Subjective,Euphoria
"The Earth is not flat.",Negation,Factual,Neutral
"I am feeling optimistic about the future.",Affirmation,Subjective,Happiness
"This song is terrible.",Negation,Subjective,Anger
"The capital of France is Paris.",Affirmation,Factual,Neutral
"I don't believe in ghosts.",Negation,Subjective,Neutral
"That performance was underwhelming.",Negation,Subjective,Sadness
"The human brain is incredibly complex.",Affirmation,Factual,Neutral
"I am grateful for my family.",Affirmation,Subjective,Happiness
"This food is too spicy.",Negation,Subjective,Anger
"Water boils at 100 degrees Celsius.",Affirmation,Factual,Neutral
"I don't trust politicians.",Negation,Subjective,Neutral
"That movie was a complete waste of time.",Negation,Subjective,Anger
"The universe is constantly expanding.",Affirmation,Factual,Neutral
"I am excited about the upcoming trip.",Affirmation,Subjective,Euphoria
"This weather is depressing.",Negation,Subjective,Sadness
"Photosynthesis is essential for plant life.",Affirmation,Factual,Neutral
"I don't understand his motives.",Negation,Subjective,Neutral
"That book was incredibly boring.",Negation,Subjective,Sadness
"The Great Wall of China is visible from space.",Affirmation,Factual,Neutral 
